1|10164815530005116106P|0020|00108|2025-10-09|M|1016183240|0005116106|BEP|2023-09-15|A|000000000000000|C|3289977             |HECTOR.MORA@CAPGEMINI.COM                         |SEGUROS VIBANCO                                             |USREJEC1@BANORTE.COM                              |SEGUROS VIBANCO                                             |MOSH760122HDFRNC00|1016481553|N| |                    |
2|10164815530005116106P|0020|00001|A|4189281061216470|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00079|A|4189281061217254|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00080|A|4189281061217262|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00081|A|4189281061217270|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00082|A|4189281061217288|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00083|A|4189281061217296|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00084|A|4189281061217304|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00085|A|4189281061217312|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00086|A|4189281061217320|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00087|A|4189281061217338|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00088|A|4189281061217346|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00089|A|4189281061217353|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00090|A|4189281061217361|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00091|A|4189281061217379|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00092|A|4189281061217387|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00093|A|4189281061217395|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00094|A|4189281061217403|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00095|A|4189281061217411|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00096|A|4189281061217429|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00097|A|4189281061217437|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00098|A|4189281061217445|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00099|A|4189281061217452|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00100|A|4189281061217460|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00101|A|4189281061217478|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00102|A|4189281061217486|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00103|A|4189281061217494|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00104|A|4189281061217502|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00105|A|4189281061217510|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00106|A|4189281061217528|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00107|A|4189281061217536|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00108|A|4189281061217544|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
1|10164815530005116106P|0021|00108|2025-10-09|M|1016183240|0005116106|BEP|2023-09-15|A|000000000000000|C|3289977             |HECTOR.MORA@CAPGEMINI.COM                         |SEGUROS VIBANCO                                             |USREJEC1@BANORTE.COM                              |SEGUROS VIBANCO                                             |MOSH760122HDFRNC00|1016481553|N| |                    |
2|10164815530005116106P|0021|00001|A|4189281061217551|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00002|A|4189281061217569|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00003|A|4189281061217577|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00004|A|4189281061217585|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00005|A|4189281061217593|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00006|A|4189281061217601|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00007|A|4189281061217619|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00008|A|4189281061217627|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00009|A|4189281061217635|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00010|A|4189281061217643|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00011|A|4189281061217650|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00012|A|4189281061217668|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00013|A|4189281061217676|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00014|A|4189281061217684|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00015|A|4189281061217692|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00016|A|4189281061217700|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00017|A|4189281061217718|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00018|A|4189281061217726|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00019|A|4189281061217734|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00020|A|4189281061217742|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00021|A|4189281061217759|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00022|A|4189281061217767|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0021|00023|A|4189281061217775|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
